Brand,Product Name,Product URL,Image URL,Description,Price,Category
Clinique,Even Better Clinical Serum Foundation SPF 20,https://www.notino.co.uk/clinique/even-better-clinical-serum-foundation-spf-20-serum-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/clinique/192333078068_01-o.jpg,serum foundation SPF 20,29.40,foundation
Wet n Wild,Photo Focus,https://www.notino.co.uk/wet-n-wild/photo-focus-mattifying-liquid-foundation/,https://cdn.notinoimg.com/list_2k/wet-n-wild/4049775537133_01-ox.jpg,mattifying liquid foundation,4.50,foundation
Wet n Wild,Photo Focus,https://www.notino.co.uk/wet-n-wild/photo-focus-lightweight-tinted-moisturizer-with-brightening-effect/,https://cdn.notinoimg.com/list_2k/wet-n-wild/077802116093_01-o.jpg,lightweight tinted moisturiser with a brightening effect,4.30,foundation
N/A,N/A,N/A,N/A,N/A,N/A,foundation
Estée Lauder,Double Wear Stay-in-Place Mini,https://www.notino.co.uk/estee-lauder/mini-double-wear-stay-in-place-long-lasting-foundation-spf-10/,https://cdn.notinoimg.com/list_2k/estee-lauder/887167352971_01-o.jpg,long-lasting foundation SPF 10,14.70,foundation
Clinique,Anti-Blemish Solutions™ Liquid Makeup,https://www.notino.co.uk/clinique/anti-blemish-solutions-liquid-foundation-for-problematic-skin-acne/,https://cdn.notinoimg.com/list_2k/clinique/20714394769_01-o__27.jpg,"liquid foundation for problematic skin, acne",22.50,foundation
Vichy,Dermablend,https://www.notino.co.uk/vichy/dermablend-liquid-foundation/,https://cdn.notinoimg.com/list_2k/vichy/3337871316594-o__23.jpg,corrective foundation with SPF,19.40,foundation
Maybelline,Dream Matte Mousse,https://www.notino.co.uk/maybelline/dream-matte-mousse-foundation/,https://cdn.notinoimg.com/list_2k/maybelline/3600530169993_01-o__23.jpg,mattifying foundation,8.50,foundation
L’Oréal Paris,Infallible 32H Matte Cover,https://www.notino.co.uk/loreal-paris/infallible-24h-matte-cover-long-lasting-mattifying-foundation/,https://cdn.notinoimg.com/list_2k/loreal-paris/3600523784400_01-o.jpg,long-lasting mattifying foundation SPF 25,10.40,foundation
Smashbox,Halo Healthy Glow All-in-One Tinted Moisturizer SPF 25,https://www.notino.co.uk/smashbox/halo-healthy-glow-all-in-one-tinted-moisturizer-spf-25-tinted-moisturiser-with-brightening-effect-spf-25/,https://cdn.notinoimg.com/list_2k/smashbox/607710089686_01-o.jpg,tinted moisturiser with a brightening effect SPF 25,18.40,foundation
Lirene,Nature Matte,https://www.notino.co.uk/lirene/nature-matte/,https://cdn.notinoimg.com/list_2k/lirene/5900717060128_01-o__14.jpg,mattifying liquid foundation with long-lasting effect,3.20,foundation
Lirene,Vitamin C,https://www.notino.co.uk/lirene/vitamin-c/,https://cdn.notinoimg.com/list_2k/lirene/5900717069039_01-o__14.jpg,brightening liquid foundation with long-lasting effect,2.60,foundation
Lirene,Magic,https://www.notino.co.uk/lirene/magic-cc-cream-with-moisturizing-effect/,https://cdn.notinoimg.com/list_2k/lirene/5900717765351_01-o.jpg,CC cream with moisturising effect 30 ml,4.90,foundation
Dermacol,Cover Mini,https://www.notino.co.uk/dermacol/cover/,https://cdn.notinoimg.com/list_2k/dermacol/2800012989120_01-o__15.jpg,extreme makeup cover SPF 30-miniature tester,3.10,foundation
Rimmel,Lasting Radiance,https://www.notino.co.uk/rimmel/lasting-radiance-illuminating-foundation-spf-25/,https://cdn.notinoimg.com/list_2k/rimmel/3614226493644_01-o__3.jpg,illuminating foundation SPF 25,9.30,foundation
Bourjois,Healthy Mix,https://www.notino.co.uk/bourjois/healthy-mix-radiance-moisturising-makeup-24-h/,https://cdn.notinoimg.com/list_2k/bourjois/3616303397166_01-o.jpg,radiance moisturising foundation 24 h,9.80,foundation
Estée Lauder,Double Wear Stay-in-Place,https://www.notino.co.uk/estee-lauder/double-wear-stay-in-place-foundation/,https://cdn.notinoimg.com/list_2k/estee-lauder/27131187042_01-o__27.jpg,long-lasting foundation SPF 10,37.00,foundation
Lirene,City Matt,https://www.notino.co.uk/lirene/city-matt/,https://cdn.notinoimg.com/list_2k/lirene/5900717062030_01-o__17.jpg,mattifying liquid foundation with smoothing effect,5.20,foundation
Rimmel,Lasting Finish 25H,https://www.notino.co.uk/rimmel/lasting-finish-25h-liquid-foundation/,https://cdn.notinoimg.com/list_2k/rimmel/3616301235996_01-o.jpg,liquid foundation SPF 20,5.60,foundation
Dermacol,Acne Cover,https://www.notino.co.uk/dermacol/acne-cover-soothing-foundation-with-tea-tree-oil/,https://cdn.notinoimg.com/list_2k/dermacol/85971370_01-o.jpg,soothing foundation with tea tree oil,5.70,foundation
Clinique,Even Better™ Makeup SPF 15 Evens and Corrects,https://www.notino.co.uk/clinique/even-better-make-up-liquid-foundation-for-dry-to-mixed-skin/,https://cdn.notinoimg.com/list_2k/clinique/20714324605_01-o__16.jpg,corrective foundation SPF 15,23.50,foundation
Sensai,Total Finish,https://www.notino.co.uk/sensai/total-finish-powder-foundation-refill/,https://cdn.notinoimg.com/list_2k/sensai/4973167257531_01-o__5.jpg,powder foundation refill,31.30,foundation
DIOR,Dior Forever Skin Glow,https://www.notino.co.uk/dior/dior-forever-skin-glow-illuminating-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/dior/3348901578240_01.jpg,Clean radiant foundation - 24h wear and hydration,37.70,foundation
Eveline Cosmetics,Better than Perfect,https://www.notino.co.uk/eveline-cosmetics/better-than-perfect-high-cover-foundation-with-moisturizing-effect/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5903416037767_01-o.jpg,high cover foundation with moisturising effect,7.10,foundation
Shiseido,Synchro Skin Glow Luminizing Fluid Foundation,https://www.notino.co.uk/shiseido/synchro-skin-glow-brightening-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/shiseido/shisngw_kmup01-o__13.jpg,illuminating foundation SPF 20,32.80,foundation
Eveline Cosmetics,Liquid Control,https://www.notino.co.uk/eveline-cosmetics/liquid-control-liquid-foundation-with-pipette/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5901761937244_01-o__4.jpg,liquid foundation with pipette,8.60,foundation
Eveline Cosmetics,Art Make-Up,https://www.notino.co.uk/eveline-cosmetics/art-make-up-light-mineral-powder-foundation-compact-with-matte-effect/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5901761904468_01.jpg,light mineral powder foundation compact with matt effect,4.80,foundation
DIOR,Dior Forever,https://www.notino.co.uk/dior/dior-forever-long-lasting-mattifying-foundation/,https://cdn.notinoimg.com/list_2k/dior/3348901572866_01.jpg,Clean matte foundation - 24h wear - no transfer - concentrated floral skincare,39.10,foundation
